OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
40,Hinsdale County,08053,Hinsdale,08,HINSDALE,053,118,795,14842.77,118,0,,,,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.29767108910778,2.84695016312372
41,Weld County,08123,Weld,08,WELD,123,78382,331186,23667.06,78186,196,650,652,-2,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",1.10610954447702,5.09979297775079
42,Larimer County,08069,Larimer,08,LARIMER,069,71109,359698,19769.08,70940,169,448,448,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.726530757031469,3.89982681544695
43,Lake County,08065,Lake,08,LAKE,065,1751,7417,23607.93,1745,6,2,2,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.103687200717559,1.72745358078377
44,Rio Grande County,08105,Rio Grande,08,RIO GRANDE,105,2604,11555,22535.7,2574,30,43,43,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.241033137835757,2.21073822643431
45,Gilpin County,08047,Gilpin,08,GILPIN,047,907,5799,15640.63,902,5,4,4,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.0409605716740771,0.973252095597924
46,Yuma County,08125,Yuma,08,YUMA,125,1805,9999,18051.81,1798,7,22,22,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.647060268172481,3.24382405750968
47,Jackson County,08057,Jackson,08,JACKSON,057,154,1374,11208.15,151,3,,,,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.447106418412659,3.7716398410151
48,Kit Carson County,08063,Kit Carson,08,KIT CARSON,063,1527,7077,21576.94,1525,2,29,29,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.584674359648034,3.28545636703058
49,Clear Creek County,08019,Clear Creek,08,CLEAR CREEK,019,1472,9392,15672.91,1468,4,10,10,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.107815475126699,1.7200936574538
50,Logan County,08075,Logan,08,LOGAN,075,6847,21406,31986.36,6800,47,106,106,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.509315868637259,2.98709243190607
51,Washington County,08121,Washington,08,WASHINGTON,121,978,4829,20252.64,970,8,26,26,0,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.689156198508726,3.59641099493636
52,Douglas County,08035,Douglas,08,DOUGLAS,035,73633,360034,20451.68,73511,122,382,381,1,1279858,5783182,22130.69,11416,11859,58123,4714214,16189225,64,8162,Colorado Department of Public Health and Environment,"Data through February 7, 2022",0.228049517556883,2.24626729887819
